case_id,t1,t1ce,t2,flair,efficiency_gap,full_value,model,seed
BRATS_076,0.13738581816026382,0.2410874952012541,0.1745656960327524,0.15764420057452205,0.0,0.7106832099687924,qmmf,44
BRATS_092,0.14858500035158115,0.16645709023050215,0.1134434719148057,0.12734400732455256,-1.1102230246251565e-16,0.5558295698214416,qmmf,44
BRATS_097,0.12212775828292892,0.38976560440706204,0.2056342698539747,0.19788831002347826,0.0,0.915415942567444,qmmf,44
BRATS_116,0.13278596750998586,0.19112581263945536,0.14914578931781633,0.18631433575891246,-1.1102230246251565e-16,0.6593719052261701,qmmf,44
BRATS_119,0.06750709861909739,0.23568597646885558,0.1704392059756383,0.19147070729122542,0.0,0.6651029883548167,qmmf,44
BRATS_135,0.11203645499834745,0.24401032107277087,0.14094267788564066,0.17798375297421398,0.0,0.674973206930973,qmmf,44
BRATS_143,0.15729196588338176,0.2814952842073316,0.17808159136967663,0.15113875619851946,0.0,0.7680075976589095,qmmf,44
BRATS_144,0.021175664133183402,0.2719430803716496,0.19780622629703234,0.2453962410933196,1.1102230246251565e-16,0.7363212118951848,qmmf,44
BRATS_160,0.13411448759535582,0.29110144045992675,0.08672096551121584,0.24247041926735216,0.0,0.7544073128338505,qmmf,44
BRATS_163,0.17372927341599523,0.2790831952677354,0.20634934434351013,0.1531900949758592,0.0,0.8123519080031,qmmf,44
BRATS_170,0.09682418085363054,0.11100771921410502,0.1502042796312982,0.13699295103883724,5.551115123125783e-17,0.49502913073787097,qmmf,44
BRATS_190,0.10073691385971884,0.3168192503793913,0.22133748830410058,0.22983218438430902,0.0,0.8687258369275197,qmmf,44
BRATS_194,0.0880693481155895,0.18831241722233416,0.15104690047630961,0.16165782878961824,0.0,0.5890864946038515,qmmf,44
BRATS_197,0.07382240486336897,0.2682782803969699,0.12549368819924991,0.11654863565317385,0.0,0.5841430091127626,qmmf,44
BRATS_228,0.15282723874536,0.3897123833399947,0.14784620687397118,0.1433713129229445,0.0,0.8337571418822703,qmmf,44
BRATS_234,0.13789684254525678,0.36507990075678876,0.19990699778746565,0.23935502089707397,0.0,0.9422387619865852,qmmf,44
BRATS_259,0.06373846016825054,0.07664761440672554,0.1350043127880916,0.1440934100827155,0.0,0.4194837974457832,qmmf,44
BRATS_268,0.11267150488167468,0.17811792090946232,0.13257220642371292,0.13443729422638406,0.0,0.557798926441234,qmmf,44
BRATS_273,0.059761924081173104,0.3923217171237605,0.22311617335568887,0.19328737147984765,0.0,0.8684871860404701,qmmf,44
BRATS_278,0.03236653395603442,0.3945660590757144,0.06298789083763254,0.29214358805441043,0.0,0.7820640719237918,qmmf,44
BRATS_285,0.1732951880052258,0.27189488386516814,0.21605854938349905,0.18122370395414125,0.0,0.8424723252080343,qmmf,44
BRATS_298,0.11325136480659957,0.4363058592604957,0.11894095729501246,0.19862137918117265,1.1102230246251565e-16,0.8671195605432803,qmmf,44
BRATS_302,0.0073464511990796455,0.44637979297251634,0.11474547023026556,0.12336260002326119,0.0,0.6918343144251228,qmmf,44
BRATS_304,0.07183914636742335,0.465029265256804,0.12473959275963803,0.16442918766395964,0.0,0.826037192047825,qmmf,44
BRATS_306,0.10072516200294919,0.356183164732759,0.1221500037135828,0.2683748063077449,0.0,0.8474331367570359,qmmf,44
BRATS_307,0.09895070458410973,0.2907092048428498,0.1788811507045609,0.23271040627152204,0.0,0.8012514664030425,qmmf,44
BRATS_318,0.10804097242144563,0.39806993458493956,0.15871040328082012,0.20304540330511298,0.0,0.8678667135923183,qmmf,44
BRATS_322,0.09558908682618496,0.23117887728202643,0.08240243818377917,0.3096776795986176,0.0,0.7188480818906081,qmmf,44
BRATS_325,0.13497438030354167,0.3367263795196124,0.17473754050003837,0.23361598263036193,0.0,0.8800542829535544,qmmf,44
BRATS_326,0.10679522153972243,0.3124516256253717,0.1296965986911558,0.2703751825221139,-1.1102230246251565e-16,0.8193186283783639,qmmf,44
BRATS_327,0.11470373736299319,0.4481561295907716,0.1800548381849744,0.1887823902129885,0.0,0.9316970953517277,qmmf,44
BRATS_336,0.13107243047004755,0.4138222738610343,0.13059126897929393,0.19585317111980208,0.0,0.8713391444301779,qmmf,44
BRATS_342,0.008729493181770768,0.18930391553621434,0.2102287340766632,0.2803728114138003,0.0,0.6886349542084487,qmmf,44
BRATS_348,0.16099717016622414,0.3662092664275941,0.13643663464398803,0.22970813573292775,0.0,0.893351206970734,qmmf,44
BRATS_354,0.13481677289146152,0.3843598304341656,0.1804705080739792,0.19017569600636644,0.0,0.8898228074059727,qmmf,44
BRATS_358,0.13329717872223562,0.2814256439503716,0.15069725250529883,0.1729463990919975,0.0,0.7383664742699035,qmmf,44
BRATS_360,0.12070732503421502,0.39271005614412513,0.15757214854320756,0.182446671996184,0.0,0.8534362017177317,qmmf,44
BRATS_374,0.08681399629030358,0.4119032635058432,0.16551567352070268,0.17890499461367312,-1.1102230246251565e-16,0.8431379279305227,qmmf,44
BRATS_384,0.14188963603525864,0.40024306901702267,0.14903255718528383,0.17972209774570788,0.0,0.870887359983273,qmmf,44
BRATS_391,0.12511299640330847,0.3691344527646665,0.18913743882490874,0.23549621820599662,0.0,0.9188811061988803,qmmf,44
BRATS_393,0.12705604767424994,0.34871671221937184,0.2088576640406961,0.23271403053481918,1.1102230246251565e-16,0.9173444544691369,qmmf,44
BRATS_396,0.11444869316578149,0.36777474571201596,0.21700214274663754,0.19837657647060256,-1.1102230246251565e-16,0.8976021580950376,qmmf,44
BRATS_403,0.13557956175646224,0.3146428290746536,0.16094863142630678,0.18630710588993396,0.0,0.7974781281473565,qmmf,44
BRATS_414,0.14616454232074857,0.2973230806080621,0.1995546396179241,0.1947993244385627,-1.1102230246251565e-16,0.8378415869852976,qmmf,44
BRATS_475,0.12639324160999893,0.31165308718291324,0.23412772028385798,0.19571251509641913,-1.1102230246251565e-16,0.8678865641731893,qmmf,44
BRATS_023,0.09243728554628762,0.14707164377079457,0.08188514479544357,0.195850933231118,0.0,0.5172450073436438,unet25d,42
BRATS_027,0.1255211950457374,0.04158989303530426,0.29206208881439155,0.36024424245762365,0.0,0.8194174193530569,unet25d,42
BRATS_034,0.1251403581695207,0.095431952736816,0.20420469888829543,0.1872100644988845,0.0,0.6119870742935166,unet25d,42
BRATS_059,0.10013592810530661,0.32345340095152736,0.21614877596910795,0.24956187878619507,-1.1102230246251565e-16,0.889299983812137,unet25d,42
BRATS_062,0.024033436029228514,0.20136133285286634,0.18302221320375778,0.23507333673900876,0.0,0.6434903188248614,unet25d,42
BRATS_066,0.10801142054091506,0.3302699267266095,0.1223848321166075,0.13652494703068985,-1.1102230246251565e-16,0.697191126414822,unet25d,42
BRATS_076,0.14150443432405582,0.19554408029230277,0.1605753660023314,0.16357089399771516,0.0,0.6611947746164052,unet25d,42
BRATS_092,0.13384067349984183,0.11638461922080102,0.18397274183250079,0.13337554471257612,-1.1102230246251565e-16,0.5675735792657198,unet25d,42
BRATS_097,0.12102789976086709,0.36274346745723063,0.20241640270895883,0.21816071367845652,1.1102230246251565e-16,0.904348483605513,unet25d,42
BRATS_116,0.1258431181288868,0.17323539203051228,0.17743149058815216,0.21553560493304086,0.0,0.6920456056805921,unet25d,42
BRATS_119,0.04117584221608872,0.17582885122923975,0.20961288460935962,0.2145889101503359,0.0,0.641206488205024,unet25d,42
BRATS_135,0.13308787375143777,0.15680271600517937,0.20376202373452929,0.21899197109518392,-1.1102230246251565e-16,0.7126445845863304,unet25d,42
