model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_441,t1+t1ce,sg_baba356c1735c37c,2,0.7501873116728414
qmmf,BRATS_441,t1+t1ce+flair,sg_baba356c1735c37c,3,0.8259781075454318
qmmf,BRATS_441,t1+t1ce+t2,sg_baba356c1735c37c,3,0.8258684049806182
qmmf,BRATS_441,t1+t1ce+t2+flair,sg_baba356c1735c37c,4,0.8385817184688662
qmmf,BRATS_441,t1+t2,sg_baba356c1735c37c,2,0.5613327182423161
qmmf,BRATS_441,t1+t2+flair,sg_baba356c1735c37c,3,0.5653408377297557
qmmf,BRATS_441,t1ce,sg_baba356c1735c37c,1,0.6960979511104429
qmmf,BRATS_441,t1ce+flair,sg_baba356c1735c37c,2,0.8108331259971111
qmmf,BRATS_441,t1ce+t2,sg_baba356c1735c37c,2,0.8153296559636268
qmmf,BRATS_441,t1ce+t2+flair,sg_baba356c1735c37c,3,0.8351475724935846
qmmf,BRATS_441,t2,sg_baba356c1735c37c,1,0.511061614194257
qmmf,BRATS_441,t2+flair,sg_baba356c1735c37c,2,0.5303250996131307
qmmf,BRATS_484,flair,sg_482440ccbb01f4b6,1,0.6203780150276014
qmmf,BRATS_484,t1,sg_482440ccbb01f4b6,1,0.5347094913894203
qmmf,BRATS_484,t1+flair,sg_482440ccbb01f4b6,2,0.7256607606800302
qmmf,BRATS_484,t1+t1ce,sg_482440ccbb01f4b6,2,0.8153006332647292
qmmf,BRATS_484,t1+t1ce+flair,sg_482440ccbb01f4b6,3,0.9021993874950668
qmmf,BRATS_484,t1+t1ce+t2,sg_482440ccbb01f4b6,3,0.8356854353041244
qmmf,BRATS_484,t1+t1ce+t2+flair,sg_482440ccbb01f4b6,4,0.9001769891095567
qmmf,BRATS_484,t1+t2,sg_482440ccbb01f4b6,2,0.6486475871988213
qmmf,BRATS_484,t1+t2+flair,sg_482440ccbb01f4b6,3,0.7216403864919053
qmmf,BRATS_484,t1ce,sg_482440ccbb01f4b6,1,0.8185453926009566
qmmf,BRATS_484,t1ce+flair,sg_482440ccbb01f4b6,2,0.8951205985036036
qmmf,BRATS_484,t1ce+t2,sg_482440ccbb01f4b6,2,0.8325050280227462
qmmf,BRATS_484,t1ce+t2+flair,sg_482440ccbb01f4b6,3,0.8910085551475603
qmmf,BRATS_484,t2,sg_482440ccbb01f4b6,1,0.5738956008821859
qmmf,BRATS_484,t2+flair,sg_482440ccbb01f4b6,2,0.6637036086698621
hemis,BRATS_021,flair,sg_8a56096263e207fc,1,0.17065188535514872
hemis,BRATS_021,t1,sg_8a56096263e207fc,1,0.13141943640636183
hemis,BRATS_021,t1+flair,sg_8a56096263e207fc,2,0.1408398650362009
hemis,BRATS_021,t1+t1ce,sg_8a56096263e207fc,2,0.2640724110604435
hemis,BRATS_021,t1+t1ce+flair,sg_8a56096263e207fc,3,0.30820538974630657
hemis,BRATS_021,t1+t1ce+t2,sg_8a56096263e207fc,3,0.6100330682673017
hemis,BRATS_021,t1+t1ce+t2+flair,sg_8a56096263e207fc,4,0.6268365756405251
hemis,BRATS_021,t1+t2,sg_8a56096263e207fc,2,0.471803722567182
hemis,BRATS_021,t1+t2+flair,sg_8a56096263e207fc,3,0.5358990639825957
hemis,BRATS_021,t1ce,sg_8a56096263e207fc,1,0.31827100273042813
hemis,BRATS_021,t1ce+flair,sg_8a56096263e207fc,2,0.5169566973429273
